['SULA11.SA', 'COGN3.SA', 'GGBR4.SA', 'VALE3.SA', 'RADL3.SA', 'GOLL4.SA', 'BBDC4.SA', 'BTOW3.SA', 'HYPE3.SA']
['SULA11.SA', 'VALE3.SA', 'RADL3.SA', 'GOLL4.SA', 'GGBR4.SA', 'BTOW3.SA', 'COGN3.SA', 'SMLS3.SA', 'CVCB3.SA']
['SULA11.SA', 'VALE3.SA', 'GGBR4.SA', 'GOLL4.SA', 'RADL3.SA', 'BTOW3.SA', 'COGN3.SA', 'CVCB3.SA', 'BRFS3.SA']
['SULA11.SA', 'BTOW3.SA', 'GOLL4.SA', 'LREN3.SA', 'COGN3.SA', 'CVCB3.SA', 'GGBR4.SA', 'VALE3.SA', 'BBDC4.SA']
['SULA11.SA', 'BTOW3.SA', 'GOLL4.SA', 'LREN3.SA', 'COGN3.SA', 'SMLS3.SA', 'GGBR4.SA', 'VALE3.SA', 'RADL3.SA']
['SULA11.SA', 'GOLL4.SA', 'BTOW3.SA', 'COGN3.SA', 'TOTS3.SA', 'CVCB3.SA', 'GGBR4.SA', 'IGTA3.SA', 'SMLS3.SA']
['SULA11.SA', 'GOLL4.SA', 'CYRE3.SA', 'BTOW3.SA', 'SMLS3.SA', 'CVCB3.SA', 'HYPE3.SA', 'IGTA3.SA', 'GGBR4.SA']
['GOLL4.SA', 'SULA11.SA', 'GGBR4.SA', 'IGTA3.SA', 'VALE3.SA', 'MULT3.SA', 'CYRE3.SA', 'COGN3.SA', 'BBDC4.SA']
['GGBR4.SA', 'SULA11.SA', 'BTOW3.SA', 'IGTA3.SA', 'VALE3.SA', 'MULT3.SA', 'LREN3.SA', 'BBDC4.SA', 'CVCB3.SA']
['GGBR4.SA', 'SULA11.SA', 'IGTA3.SA', 'BTOW3.SA', 'LREN3.SA', 'VALE3.SA', 'MULT3.SA', 'ELET3.SA', 'CSNA3.SA']
['GGBR4.SA', 'ELET3.SA', 'BTOW3.SA', 'LREN3.SA', 'VALE3.SA', 'GOLL4.SA', 'SULA11.SA', 'CSNA3.SA', 'BBDC4.SA']
